epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,280.306,0.89449,0.53228,0.96941,0.83409,0.78125,0.81545,0.43707,1.65401,0.931,1.48192,0.0009704,0.0009704,0.0009704
106,282.951,0.8368,0.57137,0.95881,0.82162,0.82812,0.84395,0.4433,1.59333,0.90987,1.48449,0.0009605,0.0009605,0.0009605
107,285.525,0.87309,0.56266,0.97417,0.81396,0.82041,0.81018,0.43965,1.61369,0.8977,1.40697,0.0009506,0.0009506,0.0009506
108,288.152,0.78359,0.51478,0.94266,0.75508,0.84375,0.8467,0.44753,1.5461,0.97542,1.38981,0.0009407,0.0009407,0.0009407
109,290.82,0.83612,0.54647,0.93772,0.84566,0.76562,0.82211,0.45804,1.48793,0.98784,1.37277,0.0009308,0.0009308,0.0009308
110,293.579,0.78835,0.50746,0.95853,0.84199,0.76562,0.77092,0.42253,1.61719,0.99168,1.44962,0.0009209,0.0009209,0.0009209
111,296.162,0.80449,0.54083,0.99466,0.9054,0.76562,0.8079,0.42468,1.616,0.95551,1.46749,0.000911,0.000911,0.000911
112,298.787,0.8507,0.53347,0.96389,0.8806,0.80673,0.80244,0.42895,1.57786,0.92263,1.45728,0.0009011,0.0009011,0.0009011
113,301.383,0.79391,0.5206,0.96462,0.8484,0.8125,0.80149,0.41539,1.58909,0.93984,1.44397,0.0008912,0.0008912,0.0008912
114,304.025,0.81618,0.51003,0.96218,0.80626,0.76562,0.79482,0.40614,1.6478,0.90877,1.48554,0.0008813,0.0008813,0.0008813
115,306.656,0.87152,0.52752,0.97177,0.81632,0.76389,0.81901,0.43323,1.62435,0.85456,1.48268,0.0008714,0.0008714,0.0008714
116,309.28,0.78579,0.50047,0.93335,0.82458,0.80797,0.85125,0.44474,1.53845,0.88501,1.42776,0.0008615,0.0008615,0.0008615
117,311.9,0.8002,0.49304,0.9457,0.82199,0.8125,0.85616,0.44911,1.53228,0.88157,1.42072,0.0008516,0.0008516,0.0008516
118,314.518,0.80476,0.51769,0.98214,0.83504,0.79103,0.84503,0.44896,1.53215,0.88941,1.4127,0.0008417,0.0008417,0.0008417
119,317.124,0.79416,0.51736,0.94547,0.88811,0.74419,0.82708,0.44806,1.57574,0.83857,1.43606,0.0008318,0.0008318,0.0008318
120,319.785,0.82891,0.49405,0.95636,0.8615,0.8125,0.83708,0.44732,1.62607,0.87572,1.45008,0.0008219,0.0008219,0.0008219
121,322.387,0.7993,0.50255,0.96033,0.86531,0.78125,0.85113,0.46379,1.58074,0.89201,1.463,0.000812,0.000812,0.000812
122,325.148,0.75118,0.47152,0.9521,0.86195,0.78125,0.84143,0.45282,1.5722,0.87006,1.48166,0.0008021,0.0008021,0.0008021
123,327.761,0.73978,0.47651,0.94297,0.86137,0.77674,0.82695,0.44034,1.58121,0.8941,1.4481,0.0007922,0.0007922,0.0007922
124,330.371,0.77045,0.53692,0.95396,0.86753,0.71631,0.81571,0.44677,1.61069,0.91922,1.43871,0.0007823,0.0007823,0.0007823
125,333.037,0.76367,0.52743,0.97033,0.784,0.8125,0.83116,0.44425,1.61788,0.89389,1.42282,0.0007724,0.0007724,0.0007724
126,335.651,0.80003,0.50133,0.94726,0.77936,0.82787,0.81837,0.43419,1.59188,0.85629,1.4362,0.0007625,0.0007625,0.0007625
127,338.259,0.73852,0.48292,0.95601,0.86015,0.76562,0.82109,0.44491,1.64305,0.90078,1.43523,0.0007526,0.0007526,0.0007526
128,340.905,0.72693,0.4762,0.92256,0.89385,0.73438,0.80661,0.43365,1.6638,0.9225,1.45897,0.0007427,0.0007427,0.0007427
129,343.812,0.80306,0.48109,0.95622,0.89498,0.76562,0.79092,0.41562,1.63268,0.96696,1.4376,0.0007328,0.0007328,0.0007328
130,346.425,0.79812,0.52428,0.95178,0.91803,0.75,0.80175,0.41345,1.65624,0.9448,1.42554,0.0007229,0.0007229,0.0007229
131,349.02,0.75556,0.49513,0.92535,0.86113,0.78125,0.8347,0.44286,1.59037,0.94502,1.39296,0.000713,0.000713,0.000713
132,351.655,0.7277,0.45531,0.9213,0.86229,0.75,0.86454,0.48485,1.49091,0.86359,1.36622,0.0007031,0.0007031,0.0007031
133,354.293,0.72548,0.50347,0.92317,0.91572,0.71875,0.85285,0.4953,1.5062,0.8438,1.41995,0.0006932,0.0006932,0.0006932
134,357.098,0.7185,0.45036,0.93612,0.90259,0.76562,0.87729,0.46983,1.54508,0.8967,1.45536,0.0006833,0.0006833,0.0006833
135,359.655,0.71053,0.47036,0.91995,0.90223,0.75,0.85606,0.4533,1.57842,0.9163,1.49731,0.0006734,0.0006734,0.0006734
136,362.316,0.75759,0.48168,0.95405,0.84813,0.78536,0.85443,0.46384,1.6047,0.92604,1.52475,0.0006635,0.0006635,0.0006635
137,364.924,0.75754,0.47785,0.93062,0.87191,0.78125,0.84149,0.45613,1.62349,0.8831,1.49629,0.0006536,0.0006536,0.0006536
138,367.54,0.7363,0.46666,0.90671,0.89185,0.8125,0.87571,0.44898,1.60259,0.83728,1.47233,0.0006437,0.0006437,0.0006437
139,370.104,0.69972,0.45538,0.91702,0.89412,0.79178,0.83612,0.48174,1.55164,0.83916,1.44449,0.0006338,0.0006338,0.0006338
140,372.737,0.72706,0.47337,0.9267,0.91035,0.79336,0.87271,0.48557,1.49663,0.81591,1.44716,0.0006239,0.0006239,0.0006239
